sample_index,filename,mata_path,insang_path,true_label_id,true_label,pred_label_id,pred_label,prob_segar,prob_tidak_segar,confidence,is_correct,status
1,segar_052,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_052.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_052.jpg,0,Segar,0,Segar,0.9885,0.0115,0.9885,True,BENAR
2,segar_030,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_030.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_030.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
3,segar_036,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_036.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_036.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
4,segar_024,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_024.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_024.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
5,segar_016,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_016.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_016.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
6,segar_050,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_050.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_050.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
7,segar_064,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_064.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_064.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
8,segar_046,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_046.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_046.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
9,segar_037,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_037.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_037.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
10,segar_047,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_047.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_047.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
11,segar_008,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_008.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_008.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
12,segar_032,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_032.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_032.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
13,segar_060,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_060.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_060.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
14,segar_009,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_009.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_009.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
15,segar_042,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_042.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_042.jpg,0,Segar,0,Segar,0.9915,0.0085,0.9915,True,BENAR
16,segar_019,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_019.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_019.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
17,segar_035,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_035.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_035.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
18,segar_082,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_082.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_082.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
19,segar_058,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_058.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_058.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
20,segar_076,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_076.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_076.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
21,segar_043,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_043.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_043.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
22,segar_066,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_066.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_066.jpg,0,Segar,0,Segar,0.961,0.039,0.961,True,BENAR
23,segar_022,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_022.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_022.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
24,segar_048,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_048.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_048.jpg,0,Segar,0,Segar,1.0,0.0,1.0,True,BENAR
25,segar_041,/content/drive/MyDrive/dataset801010/mata/test/segar/mata_segar_041.jpg,/content/drive/MyDrive/dataset801010/insang/test/segar/insang_segar_041.jpg,0,Segar,0,Segar,0.9706,0.0294,0.9706,True,BENAR
